category,season,pilling,condition,price,pattern,stains,holes,front_img,back_img,timestamp,day,cut_multihot,damage_count,damage_severity,material_dict,material_vector,main_color,brand,type,size,usage
0,2,3,2,<50,0,0,0,/content/dec2022/2022-12-06/front_2022_12_06_12_33_59.jpg,/content/dec2022/2022-12-06/back_2022_12_06_12_33_59.jpg,2022_12_06_12_33_59,2022-12-06,"[1, 0, 0, 1, 0, 0, 0, 0]",0,0,"{'bamboo': 65, 'cotton': 30, 'elastane': 5}","[30, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0]",8,2,0,3,3
0,0,3,2,<50,1,0,0,/content/dec2022/2022-12-06/front_2022_12_06_10_07_21.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_07_21.jpg,2022_12_06_10_07_21,2022-12-06,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,1,4,2
0,0,5,1,<50,0,1,0,/content/dec2022/2022-12-06/front_2022_12_06_12_40_32.jpg,/content/dec2022/2022-12-06/back_2022_12_06_12_40_32.jpg,2022_12_06_12_40_32,2022-12-06,"[0, 0, 0, 0, 0, 0, 1, 0]",0,0,"{'cotton': 98, 'elastane': 2}","[98, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,3,2,3,0
0,1,5,5,50-100,1,0,0,/content/dec2022/2022-12-06/front_2022_12_06_10_16_33.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_16_33.jpg,2022_12_06_10_16_33,2022-12-06,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'rayon': 74, 'nylon': 22, 'spandex': 4}","[0, 0, 0, 0, 22, 0, 0, 74, 0, 0, 4, 0, 0, 0, 0, 0]",1,3,2,4,1
1,0,3,2,50-100,0,0,0,/content/dec2022/2022-12-06/front_2022_12_06_10_37_01.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_37_01.jpg,2022_12_06_10_37_01,2022-12-06,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 50, 'acrylic': 50}","[50, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,2,0,5,3
0,0,5,2,<50,0,1,0,/content/dec2022/2022-12-06/front_2022_12_06_10_01_45.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_01_45.jpg,2022_12_06_10_01_45,2022-12-06,"[0, 0, 0, 0, 1, 0, 0, 0]",1,1,"{'cotton': 98, 'elastane': 2}","[98, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,2,3,0
0,0,5,4,100-150,0,0,0,/content/dec2022/2022-12-06/front_2022_12_06_09_56_00.jpg,/content/dec2022/2022-12-06/back_2022_12_06_09_56_00.jpg,2022_12_06_09_56_00,2022-12-06,"[0, 1, 0, 0, 0, 0, 1, 0]",1,1,"{'wool': 74, 'acrylic': 26}","[0, 0, 0, 26, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,2,3,2,1
0,0,5,4,50-100,1,1,0,/content/dec2022/2022-12-06/front_2022_12_06_10_56_06.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_56_06.jpg,2022_12_06_10_56_06,2022-12-06,"[1, 0, 0, 1, 0, 0, 0, 0]",0,0,{'viscose': 100},"[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1,3,1
1,0,5,1,<50,0,1,0,/content/dec2022/2022-12-06/front_2022_12_06_10_28_40.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_28_40.jpg,2022_12_06_10_28_40,2022-12-06,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0,3,2
0,2,5,5,50-100,0,0,0,/content/dec2022/2022-12-06/front_2022_12_06_12_44_52.jpg,/content/dec2022/2022-12-06/back_2022_12_06_12_44_52.jpg,2022_12_06_12_44_52,2022-12-06,"[0, 0, 0, 0, 0, 0, 1, 0]",0,0,"{'cotton': 80, 'polyester': 18, 'elastane': 2}","[80, 18, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,3,4,3,1
